Alejandro, Ramón (1943-....)  Illustrateur
Aleksievitch, Svetlana A.  Editeur scientifique
Alem, Shadia (1960-....)  Illustrateur
Alemagna, Beatrice (1973-....)  Illustrateur
Alembert, D' (1717-1783)
Alemdjrodo, Kangni (1966-....)
Alemdjrodo, Kangni (1966-....)  Traducteur
Alençon, May d' (1898-1968)
Alenet, Christiane Marie
Aleramo, Sibilla (1876-1960)
Alesandri, Jean (1948-....)
Alessandri, Pantaléon (1954-....)
Alessandrini, Jean (1942-....)
Alet, Irenée
Alexakis, Vassilis (1943-....)
Alexander, Carrie
Alexander, Franz (1891-1964)
Alexander, Frederick Matthias (1869-1955)
Alexander, Matt
Alexander, Samantha
Alexandre, Alain (1946-....)
Alexandre, Caroline  Rédacteur
Alexandre, Daniel-Yves (1946-....)
Alexandre, Francis
Alexandre, Frédérique
Alexandre, Jean (1937-....)
Alexandre, Monique (1932-....)  Traducteur
Alexandre, Paul (1917-....)  Traducteur
Alexandre, Philippe (1932-....)
Alexandre, Philippe (1956-....)  Illustrateur
Alexandre, Pierre (1964-....)
Alexandre-Bergues, Pascale
Alexandre-Bidon, Danièle
Alexandre-Collier, Agnès
Alexandre-Collier, Agnès  Directeur
Alexandre-Garner, Corinne (1953-....)  Editeur scientifique
Alexie, Sherman (1966-....)
Alexis (1946-1977)
Alexis, Isabelle (1972?-....)
Alfandari, Agnès
Alfandari, Cécile  Collaborateur
Alfandari, Laurent
Alfandary, Isabelle
Alföldi, Francis
Alfonsi, Gilles
Alfonsi, Marie-Hélène  Traducteur
Alfred (1976-....)  Illustrateur
Algalarrondo, Hervé
Algazy, Joseph (1938-....)  Editeur scientifique
Algazy, Joseph (1938-....)  Postfacier
Algésiras
Alglave, Stéphanie  Traducteur
Algoud, Albert (1950-....)
Algrave, Stéphanie  Traducteur
Alhau, Max (1936-....)
Alhi, Laure
Alhinc, Catherine (1954-....)
Ali, Moi
Ali, Tariq (1943-....)
Ali-Shah, Omar (1922-....)
Alibert, Dominique
Alibert, Éric  Illustrateur
Alibert, François-Paul (1873-1953)
Alibert, Jacques (1914-....)
Alibert, Michel (1936-....)
Alibert, Pierre (1943-....)
Alibert-Kouraguine, Daniel  Traducteur
Aliceu
Alien, Pierre (1939?-1996)  Traducteur
Alier, Abel (1933-....)
Aligon, Anne  Rédacteur
Alilat, Farid
Alimi, Jean-Michel (1961-....)
Alimi, Yves S. (1958-....)  Editeur scientifique
Alin, Frédéric
Alins, Jean-Jacques d'
Alione, Gian Giorgio ( 146- 152)
Aliquot, Hervé
Alix, Emmanuel (1951-....)  Directeur
Alix, Jean-Pierre
Alix, Thomas
Alix, Yves
Alizart, Mark  Postfacier
Alla, François
Allah, Alexis (1961-....)
Allaigre-Duny, Annick  Traducteur
Allain, Bruno (1954-....)
Allain, Catherine (1947-....)  Traducteur
Allain, François (1967-....)
Allain, Frédéric (1964-...)  Rédacteur
Allain, Jean-François (1945-....)
Allain, Jean-François (1948-....)  Traducteur
Allain, Marcel (1885-1969)  Auteur adapté
Allain, Pierre-Henri
Allain, Yves-Marie (1946-....)
Allain, Yves-Marie (1946-....)  Editeur scientifique
Allain-Chevallier, Brigitte (1952-....)
Allain-Guesdon, Danielle (1943-....)
Allain-Launay, Jean-Louis
Allain-Sanquer, Françoise
Allaire, Caroline
Allaire, Grégoire
Allaire, Jean-Marie (1922-....)  Editeur scientifique
Allaire, Marie-Bénédicte
Allais, Alphonse (1854-1905)
Allais, Maurice (1911-....)
Allali, André
Allali, Chérif-Jacques
Allali, Jean-Pierre
Allan Kardec
Allan, Donald James
Allan, Nicholas
Allan, Tony (1946-....)
Allancé, Mireille d'
Alland, François  Directeur
Allaouchiche, Bernard
Allard, Alexandra (1952-....)  Illustrateur
Allard, Christophe (19..-.... ; économiste)
Allard, Michel (1940-....)  Directeur
Allard, Michel (1948-....)
Allard, Roger W.  Traducteur
Allard, Vincent (1962-....)
Allardi, Jean  Directeur
Alle, Gérard (1953-....)
Alleau, Gwenaël
Allègre, Claude (1937-....)
Allègre, Jean-Luc (1961-....)  Illustrateur
Allègre, Marc
Allègre-Lesnard, Liliane
Allégret, André  Illustrateur
Allegrini Simonetti, Maria Dumenica
Alléguède, Valérie
Allemagne, André d'
Allemand, Evelyne-Dorothée
Allemand, Sylvain (1967-....)
Allemandou, Bernard (1943-....)
Allemann, Frédéric
Allen, Charlotte Vale
Allen, Francine  Adaptateur
Allen, Jonathan (1957-....)
Allen, Pam
Allen, Peter (1964-....)  Illustrateur
Allen, Woody (1935-....)
Allenbach, Marc  Editeur scientifique
Allenbaugh, Kay
Allende, Isabel (1942-....)
Allender, Roland
Allendesalazar, Mercedes (1954-....)
Allendesalazar, Mercedes (1954-....)  Editeur scientifique
Allera, Sophie  Editeur scientifique
Allery, Élisabeth
Alleton, Viviane
Alley, Robert W.  Illustrateur
Allez, Cookie (1947-....)
Allgayer, Robert
Allien, Bernard
Alliès, Paul
Alligand, Soazig (1965-....)
Allin, Aurélien (1979-....)
Allinne, Jean-Pierre (1949-....)  Directeur
Allione, Joseph
Alliot, Muriel
Alliott, Catherine
Allioui, Youcef  Editeur scientifique
Allison, Catherine
Allisy, Daniel  Illustrateur
Allix, Claude  Auteur adapté
Allix, Dominique
Allix, Stéphane (1968-....)
Allman, Howard  Illustrateur
Allo, Olivier
Alloing, Louis
Alloing, Louis  Illustrateur
Allombert, Francisque (1860-1903)
Allouache, Merzak (1944-....)
Allouard, Emma  Traducteur
Allouch, Jean
Allouche, Élie
Allouche, Michel  Traducteur
Alloula, Abdelkader (1935-1994)
Alloway, Kevin D.
Alloy, Sylviane (1955-....)  Illustrateur
Allut, Paul (1794-1880)
Allut, Stéphane
Almairac, Georges
Almeida, Danilo di Manno de
Almeida, Fabrice d'  Directeur
Almeida, Fabrice d'  Editeur scientifique
Almeida, Paulo Roberto de
Almeida-Topor, Hélène d' (1932-....)  Editeur scientifique
Alméras, Arnaud (1967-....)
Alméras, Claire
Alméras, Philippe
Alméras, Yannick  Directeur
Almin, Stéphane  Traducteur
Almira, Jacques (1950-....)
Almosnino (1968-...)
Almuró, André (1927-....)
Alnot, Jean-Yves  Editeur scientifique
Alocco, Marcel (1937-....)
Alombert, Paul-Claude  (1857-19..)
Alonso, Antoine
Alonso, Isabelle
Alonso-Motillon, Clara (1967-....)
Alozy, Gilles
Alpac, Dan
Alpert, Cathryn (1952-....)
Alphandéry, Claude
Alphandery, Marc (1947?-....)
Alquié, Ferdinand (1906-1985)
Alquier, Julien
Alric, Tristan
Alsobrook, David (1954?-....)
Alt, Éric  Directeur
Altadill, Jacqueline (1921-....)
Altairac, Joseph  Postfacier
Altea, Rosemary
Altenberg, Peter (1859-1919)
Alter, Anna
Alter, Norbert  Directeur
Alteroche, Bernard d'
Altet, Marguerite  Editeur scientifique
Althabe, Gérard
Althabe, Gérard  Préfacier
Althaus, Jean-Pierre
Althen, Gabrielle (1939-....)
Altieri, Daniel
Altman, Amnon  Editeur scientifique
Altman, Ilia
Altman, Jack (19..-.... ; auteur de guides touristiques)
Altman, Natan Isaevitch (1889-1970)  Illustrateur
Altmann de Litvan, Marina  Directeur
Altmann, Frédéric (1941-....)
Altmann, Frédéric (1941-....)  Préfacier
Altschull, Elizabeth
Altus  Illustrateur
Alunni, Bernard  Illustrateur
Alva-Carcé (1933-....)
Alvarez, José (1947-....)  Directeur
Alvarez, Julia (1951-....)
Aymé, Marcel (1902-1967)  Auteur adapté
Alvarez, Philippe
Alvarez, Ricardo (1953-....)
Alvarez, Serge (1964-....)
Alvaro, José
Alvergne, Christel (1967-....)
Alvès, Christophe  Illustrateur
Alvès, Diana
Alvès, Jean-Dominique
Alwin, Éric (1953-....)
Alyn, Marc (1937-....)
Alzieu, Brigitte (1958-....)
Alzieu, Gérard (1927-....)
Alzieu, Teddy
Alzieu-Martin, Eveline (1936-....)
Alzon, Emmanuel d' (1810-1880)
Amade-Escot, Chantal  Directeur
Amadieu, Jean-François
Amadis, Claude
Amado, Gilles  Directeur
Amadou, Jean (1929-....)
Amadou, Robert (1924-....)
Amadou, Robert (1924-....)  Préfacier
Amah, Guy
Amaïzo, Yves Ekoué  Directeur
Amalberti, René  Directeur
Amalric, Hélène  Traducteur
Amalvi, Christian (1954-....)
Amalvi, Christian (1954-....)  Directeur
Amamou, Mohamed
Amand, Stanislas (1964-....)  Illustrateur
Amandry, Michel (1949-....)  Directeur
Amani, Sandra
Amann, Bernd
Amann, Dominique (1948-....)
Amann, Rémy
Amant, Thibaut
Amar, Cécile
Amar, Yvan (1950-1999)
Amara, Cécile  Collaborateur
Amara, Emmanuel
Amardel, Gabriel
Amarenco, Gérard  Directeur
Amargo, Pablo  Illustrateur
Amat, Jacqueline
Amat, Jacqueline  Editeur scientifique
Amat, Jean-Louis (1960-....)
Amata, Victor  Editeur scientifique
Amati, Sarna
Ambacher, Max
Ambelain, Robert (1907-1998)
Ambite, Renaud (1966-....)
Amblard, Isabelle
Amblard, Jacques (1970-....)
Amblard, Marc
Amblard, Odile
Amblard, Paule
Ambler, Scott W. (1966-....)
Amblevert, Deborah
Ambonville, Laure  Traducteur
Ambonville, Marlène
Ambra, Gilles d'
Ambre (1971-....)  Illustrateur
Ambrogi, Pascal-Raphaël (1963-....)
Ambroise (saint ; 0340?-0397)
Ambros, Jordi
Ambrose, David
Ambrose, Stephen Edward (1936-2002)
Ambrosini, Nathalie
Ambrozić-Campbell, Vesna
Ambrus, Gauthier  Editeur scientifique
Amel, Gabrielle-Jacqueline
Amelin, Hugo (1984-....)
Amelin, Michel (1955-....)
Ameline, Sylvie
Amelon, Jean-Louis (1953?-....)
Amelot de La Houssaye, Abraham Nicolas (1634?-1706)  Traducteur
Amelot, Michèle
Amenc, Noël
Amery, Heather  Adaptateur
Ames guides, Les
Ames, Laurel
Ameur, Ahmed  Collaborateur
Ameur, Hachemi  Illustrateur
Amey, Claude (1941-....)
Amfreville, Marc (1957-....)  Traducteur
Amico, Maria d'  Traducteur
Amiel, Anne
Amiel, Henri-Frédéric (1821-1881)
Amiel, Michel (1956-....)
Amiel-Tison, Claudine
Amiel-Tison, Claudine  Directeur
Amigues, Suzanne
Amin, Samir (1931-....)
Amin, Samir (1931-....)  Préfacier
Amine, Patrick
Amiot, Dany  Editeur scientifique
Amiot, Karine-Marie (1974-....)
Amiot, Karine-Marie (1974-....)  Directeur
Amiraux, Valérie (19..-.... ; éditrice)  Editeur scientifique
Amis, Kingsley (1922-1995)
Amis, Martin (1949-....)
Ammann, Jean-Christophe (1939-....)
Ammi, Chantal
Ammirati, Christine
Ammouial, Fernande
Amoako, Kingsley Y. (1946-....)  Préfacier
Amon, Évelyne
Amon, Évelyne  Editeur scientifique
Amoore, Sabine (1957-....)  Traducteur
Amoranitis, Spyros
Amoretti, Louis N. (1930-....)
Amori, Muriel (1972-....)
Amorim, Marilia  Directeur
Amoros, Xavier (1970-....)
Amory, Nathalie  Rédacteur
Amossy, Ruth  Editeur scientifique
Amoudru, Nathalie
Amoudry, Jean-Paul (1950-....)  Rédacteur
Amougou, Emmanuel
Amourous, Charles (1941-....)  Directeur
Amouroux, Henri (1920-....)  Préfacier
Amoyel, Émile
Amoz, Claude
